publisher_name,total_requests,total_bytes,hit_count,date
whiteswanfoundation-bengali,47,2972108,36,2022-03-08
anweshanam,149,2398430,134,2022-03-08
indiaglobalbusiness,594,15949503,350,2022-03-08
mimorelia,33129,679281913,32773,2022-03-08
whiteswanfoundation,6845,399161145,6392,2022-03-08
barandbench-kannada,1633,38588538,1329,2022-03-08
startupcityindia,789,11160296,648,2022-03-08
ficl,20,50565243,1,2022-03-08
steelguru,3038,69507953,2588,2022-03-08
sathyadeepam,1,163603,0,2022-03-08
matternews,242,6839445,132,2022-03-09
netindian,1214,30153311,827,2022-03-09
newslaundry,206674,14175925785,200630,2022-03-09
wuzupnigeria,1447,58955161,125,2022-03-09
dailynewsnepal,2,2207388,0,2022-03-09
nationwide,1,209714,0,2022-03-09
magazine-watertoday,160,92014278,86,2022-03-09
sarkarnama,32074,151949123,30272,2022-03-09
thenewsagency,464,3632075,360,2022-03-09
newssensetn,3970,175300143,3247,2022-03-09
theceo,427,22411896,137,2022-03-09
greatkarunadu,3,350884,0,2022-03-09
ftcftcftc,157,455311,76,2022-03-09
theamj,18,226192,5,2022-03-09
ejan,185569,37387117074,184761,2022-03-09
ajel,42715,325358360,40770,2022-03-09
transportandlogisticsme,612,29922972,384,2022-03-09
steelguru,3127,74440166,2299,2022-03-09
sinceindependence-hindi,1385,97493833,1203,2022-03-09
bettorsinsider,935,52301161,526,2022-03-09
indiaglobalbusiness,444,28963137,291,2022-03-09
whiteswanfoundation-bengali,62,4181295,45,2022-03-09
foodtechbiz,946,18278538,717,2022-03-09
gomantaktimes,632,15169654,491,2022-03-09
pratidintime,2171,36234144,1781,2022-03-09
punjabtoday,21,2604998,5,2022-03-09
thelawyer,1,155636,0,2022-03-09
mimorelia,34307,732253735,33791,2022-03-09
whiteswanfoundation,7397,440454697,6940,2022-03-09
barandbench-kannada,1373,56838870,1087,2022-03-09
startupcityindia,987,14232055,864,2022-03-09
ficl,17,20493667,2,2022-03-09
whiteswanfoundation-kannada,32,1311898,16,2022-03-09
sathyadeepam,12,2987752,0,2022-03-09
sabq,1760,236987622,148,2022-03-09
sinceindependence,505,34647404,379,2022-03-09
whiteswanfoundation-tamil,29,1688206,15,2022-03-09
happenings,100,17620156,4,2022-03-09
hindustanreads,14,2386230,0,2022-03-09
iglobalnews,458,64745150,216,2022-03-09
presscenter,13496,867362171,13046,2022-03-09
dainikgomantak,8250,112749856,5590,2022-03-09
evoindia,5882,229929689,5287,2022-03-09
mumbaitak,23751,317688167,22815,2022-03-09
thebridgechronicle,3246,39055461,2974,2022-03-09
greaterkashmir,3326,87247321,240,2022-03-09
deshdoot,64633,2390336383,61874,2022-03-09
barandbench,131366,9081825182,119870,2022-03-09
