"publisher_name","referer_domain","total_requests","total_bytes","hit_count","date"
"wuzupnigeria","https://wuzupnigeria.ng","34834","439644945","34605","2022-03-04"
"evoindia","https://www.evoindia.com","50681","1074462785","50143","2022-03-04"
"dainikgomantak","https://www.dainikgomantak.com","66496","1618635479","66276","2022-03-04"
"mumbaitak","https://www.mumbaitak.in","237310","8090474218","236824","2022-03-04"
"crimetak","https://www.crimetak.in","765572","27690407125","764071","2022-03-04"
"thenewsagency","https://www.thenewsagency.in","24320","693021982","24093","2022-03-04"
"pratidintime","https://www.pratidintime.com","79980","1339487709","79534","2022-03-04"
"steelguru","https://www.steelguru.com","45594","736776235","45132","2022-03-04"
"sinceindependence","https://www.sinceindependence.com","56117","809603004","55857","2022-03-04"
"gomantaktimes","https://www.gomantaktimes.com","17335","212307200","17057","2022-03-04"
"fastbikesindia","https://www.fastbikesindia.com","7903","97566171","7603","2022-03-04"
"whiteswanfoundation-bengali","https://bengali.whiteswanfoundation.org","1407","14376001","1332","2022-03-04"
"bettorsinsider","https://www.bettorsinsider.com","20971","781754004","20648","2022-03-04"
"raftaar","https://women.raftaar.in","28875","548193783","28751","2022-03-04"
"barandbench-kannada","https://kannada.barandbench.com","11357","325353712","11229","2022-03-04"
"transportandlogisticsme","https://www.transportandlogisticsme.com","10813","148084729","10587","2022-03-04"
"xchange","https://www.xchange.co.bw","2662","19614722","2578","2022-03-04"
"matternews","https://www.matternews.org","3385","49885072","3198","2022-03-04"
"ajel","https://ajel.sa","1158374","35356330535","1157104","2022-03-04"
"iglobalnews","https://www.iglobalnews.com","10429","218243258","10136","2022-03-04"
"thecue","https://www.thecue.in","98652","3125848121","97903","2022-03-04"
"raftaar","https://dharm.raftaar.in","48064","1662720400","47626","2022-03-04"
"peoplesreporter","https://www.peoplesreporter.in","15467","382553169","15349","2022-03-04"
"knocksense","https://www.knocksense.com","3","20299","0","2022-03-04"
"happenings","https://www.happenings.com.ng","6","28410","1","2022-03-04"
"ejan","https://www.ejan.co","1938623","86165228759","1937422","2022-03-04"
"greatkarunadu","https://www.greatkarunadu.com","211","889261","204","2022-03-04"
"raftaar","https://health.raftaar.in","2808","47627207","2727","2022-03-04"
"mimorelia","https://mimorelia.com","415238","13824865212","414358","2022-03-04"
"dailynewsnepal","https://www.dailynewsnepal.com","219","1637256","179","2022-03-04"
"thelawyer","https://www.thelawyer.co.ke","503","3760529","492","2022-03-04"
"netindian","https://www.netindian.in","52081","408656819","51810","2022-03-04"
"whiteswanfoundation","https://www.whiteswanfoundation.org","41913","1064274868","41214","2022-03-04"
"theceo","https://www.theceo.in","29951","552626018","29677","2022-03-04"
"saamtv","https://www.saamtv.com","525159","15955014900","524457","2022-03-04"
"sinceindependence-hindi","https://hindi.sinceindependence.com","40929","911287024","40734","2022-03-04"
"thelede","https://www.thelede.in","6","51120","6","2022-03-04"
"newslaundry","https://www.newslaundry.com","8","50021","0","2022-03-04"
"ftcftcftc","https://www.ftcftcftc.com","2914","62687745","2730","2022-03-04"
"raftaar","https://news.raftaar.in","104040","1376632704","103877","2022-03-04"
"sabq","https://sabq.org","4791221","170927452364","4789659","2022-03-04"
"whiteswanfoundation-tamil","https://tamil.whiteswanfoundation.org","1146","8009982","1097","2022-03-04"
"punjabtoday","https://www.punjabtoday.com","4803","187048962","4698","2022-03-04"
"pratinidhimanthan","https://www.pratinidhimanthan.com","4455","21905067","4411","2022-03-04"
"deshdoot","https://www.deshdoot.com","161730","4218627468","160933","2022-03-04"
"dharmadispatch","https://www.dharmadispatch.in","13499","347336402","13026","2022-03-04"
"greaterkashmir","https://www.greaterkashmir.com","1076357","31851392905","1074511","2022-03-04"
"uptak","https://www.uptak.in","767426","28749535962","766372","2022-03-04"
"foodtechbiz","https://www.foodtechbiz.com","8587","161522129","8398","2022-03-04"
"newssensetn","https://www.newssensetn.com","25519","890294471","25241","2022-03-04"
"tv5kannada","https://tv5kannada.com","1487","216001589","1461","2022-03-04"
"raftaar","https://health.raftaar.in","2391","43177702","2349","2022-03-05"
"bettorsinsider","https://www.bettorsinsider.com","16727","307692470","16349","2022-03-05"
"forbesga","https://www.forbesga.com","414","8399780","366","2022-03-05"
"whiteswanfoundation-hindi","https://hindi.whiteswanfoundation.org","700","9690657","643","2022-03-05"
"sathyadeepam","https://www.sathyadeepam.org","14250","303735707","13982","2022-03-05"
"kamadenu","https://kamadenu.hindutamil.in","124233","3769667940","123774","2022-03-05"
"pratidintime","https://www.pratidintime.com","67268","1093123334","67005","2022-03-05"
"sinceindependence","https://www.sinceindependence.com","51449","620537440","51172","2022-03-05"
"fastbikesindia","https://www.fastbikesindia.com","6933","93704958","6604","2022-03-05"
"transportandlogisticsme","https://www.transportandlogisticsme.com","9403","122296141","9164","2022-03-05"
"raftaar","https://travel.raftaar.in","2229","22756466","2213","2022-03-05"
"thelawyer","https://www.thelawyer.co.ke","652","7463320","600","2022-03-05"
"deshdoot","https://www.deshdoot.com","125148","2944105627","124579","2022-03-05"
"sarkarnama","https://www.sarkarnama.in","343477","12445999576","342988","2022-03-05"
"mumbaitak","https://www.mumbaitak.in","231464","8226664976","230960","2022-03-05"
"dharmadispatch","https://www.dharmadispatch.in","13136","340688352","12681","2022-03-05"
"foodtechbiz","https://www.foodtechbiz.com","7280","132176901","7075","2022-03-05"
"magazine-watertoday","https://magazine.watertoday.org","774","13608684","680","2022-03-05"
"raftaar","https://news.raftaar.in","93738","1305179366","93581","2022-03-05"
"ajel","https://ajel.sa","1267842","39329446659","1266188","2022-03-05"
"eastmojo","https://www.eastmojo.com","52","351322","20","2022-03-05"
"gomantaktimes","https://www.gomantaktimes.com","13573","200413116","13297","2022-03-05"
"tendernama","https://www.tendernama.com","1917","42426662","1865","2022-03-05"
"wuzupnigeria","https://wuzupnigeria.ng","24489","401061230","24235","2022-03-05"
"theceo","https://www.theceo.in","22361","457397525","22087","2022-03-05"
"crimetak","https://www.crimetak.in","596345","20607602738","595023","2022-03-05"
"ftcftcftc","https://www.ftcftcftc.com","2470","53340282","2252","2022-03-05"
"whiteswanfoundation-kannada","https://kannada.whiteswanfoundation.org","425","2917946","408","2022-03-05"
"pennews","https://www.pennews.net","4","24824","3","2022-03-05"
"thebridgechronicle","https://www.thebridgechronicle.com","60549","1051697980","59927","2022-03-05"
"raftaar","https://astrology.raftaar.in","37003","1186980205","36637","2022-03-05"
"barandbench-kannada","https://kannada.barandbench.com","27001","660934941","26665","2022-03-05"
"thenewsagency","https://www.thenewsagency.in","15968","372156508","15673","2022-03-05"
"steelguru","https://www.steelguru.com","36235","483248877","35917","2022-03-05"
"pratinidhimanthan","https://www.pratinidhimanthan.com","2417","22244197","2336","2022-03-05"
"ficl","https://www.ficl.org.in","787","12475194","711","2022-03-05"
"whiteswanfoundation-malayalam","https://malayalam.whiteswanfoundation.org","276","3392128","260","2022-03-05"
"punjabtoday","https://www.punjabtoday.com","5454","44877682","5377","2022-03-05"
"matternews","https://www.matternews.org","3197","41206870","3086","2022-03-05"
"tv5kannada","https://tv5kannada.com","893","129413180","871","2022-03-05"
"peoplesreporter","https://www.peoplesreporter.in","20742","604711526","20517","2022-03-05"
"ejan","https://www.ejan.co","990577","38153538343","989606","2022-03-05"
"iglobalnews","https://www.iglobalnews.com","9653","207211464","9399","2022-03-05"
"sabq","https://sabq.org","5137566","184349495952","5135840","2022-03-05"
"indiaglobalbusiness","https://www.indiaglobalbusiness.com","8193","118823103","8017","2022-03-05"
"netindian","https://www.netindian.in","37947","447618283","37628","2022-03-05"
"whiteswanfoundation","https://www.whiteswanfoundation.org","40600","1050076457","39862","2022-03-05"
"barandbench-hindi","https://hindi.barandbench.com","8604","71057346","8515","2022-03-05"
"climatedesk","https://www.climatedesk.org","3","22668","0","2022-03-05"
"raftaar","https://women.raftaar.in","27736","528421412","27596","2022-03-05"
"rajexpress","https://www.rajexpress.co","40836","605152114","40594","2022-03-05"
"whiteswanfoundation-bengali","https://bengali.whiteswanfoundation.org","792","9657806","757","2022-03-05"
"uptak","https://www.uptak.in","848848","30907143537","847849","2022-03-05"
"theamj","https://www.theamj.org","353","7165079","305","2022-03-05"
"greatkarunadu","https://www.greatkarunadu.com","388","3633737","337","2022-03-05"
"newslaundry","https://www.newslaundry.com","31","200614","11","2022-03-05"
"evoindia","https://www.evoindia.com","44961","889565911","44408","2022-03-05"
"newssensetn","https://www.newssensetn.com","28735","945936226","28351","2022-03-05"
"saamtv","https://www.saamtv.com","635099","19643763950","633775","2022-03-05"
"thecue","https://www.thecue.in","102327","3516472353","101394","2022-03-05"
"sinceindependence-hindi","https://hindi.sinceindependence.com","30408","551550722","30268","2022-03-05"
